workload,dataset,split,evaluation_role,query_id,trace_order,graph_compute_placement,kv_storage_placement,baseline,memory_token_tile,calibration_label,technology_nm,frequency_mhz,latency_ns,total_incremental_area_mm2,graph_score_groups,graph_message_groups,cached_qk_groups,cached_pv_groups,scale_groups,local_buffer_read_bytes,local_buffer_write_bytes,modeled_hbm_read_bytes,q8k8_energy_nj,p8v8_energy_nj,q8k2_lut_energy_nj,p8v2_lut_energy_nj,scale_energy_nj,vadd_energy_nj,local_buffer_energy_nj,hbm_read_energy_nj,communication_energy_nj,reducer_energy_nj,dynamic_energy_nj,leakage_power_all_on_w,leakage_power_activity_gated_w,leakage_energy_nj,total_energy_nj,average_power_w,peak_dynamic_power_w,peak_total_power_w,energy_delay_product_j_s
cora_link,cora_link,validation,config_selection,242,242,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,355407360.000000,62.380000,68026368.000000,68026368.000000,154533888.000000,154533888.000000,445120512.000000,1402994688.000000,2176843776.000000,37286820.000000,1360527.360000,1360527.360000,772669.440000,772669.440000,4451205.120000,175374.336000,2007603.609600,432527.112000,11558662.963200,241827.840000,23133594.580800,0.204200,0.045674,16232875.760640,39366470.341440,0.110764,12.595200,12.640874,0.013991
cora_link,cora_link,validation,config_selection,243,243,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,411932160.000000,62.380000,87293952.000000,87293952.000000,522780672.000000,522780672.000000,1220149248.000000,0.000000,0.000000,47874792.000000,1745879.040000,1745879.040000,2613903.360000,2613903.360000,12201492.480000,0.000000,0.000000,555347.587200,20853030.912000,514326.528000,42843762.307200,0.204200,0.046025,18959177.664000,61802939.971200,0.150032,14.336000,14.382025,0.025459
cora_link,cora_link,validation,config_selection,243,243,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,409751040.000000,62.380000,87293952.000000,87293952.000000,522780672.000000,522780672.000000,1220149248.000000,1912602624.000000,2793406464.000000,47874792.000000,1745879.040000,1745879.040000,2613903.360000,2613903.360000,12201492.480000,239075.328000,2632345.190400,555347.587200,13202620.416000,275251.200000,37825697.001600,0.204200,0.048545,19891364.236800,57717061.238400,0.140859,14.336000,14.384545,0.023650
cora_link,cora_link,validation,config_selection,244,244,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,309143040.000000,62.380000,55050240.000000,55050240.000000,234356736.000000,234356736.000000,578813952.000000,0.000000,0.000000,32703456.000000,1101004.800000,1101004.800000,1171783.680000,1171783.680000,5788139.520000,0.000000,0.000000,379360.089600,14079020.236800,340525.056000,25132621.862400,0.204200,0.041570,12851076.172800,37983698.035200,0.122868,10.444800,10.486370,0.011742
cora_link,cora_link,validation,config_selection,244,244,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,308436480.000000,62.380000,55050240.000000,55050240.000000,234356736.000000,234356736.000000,578813952.000000,1119879168.000000,1761607680.000000,32703456.000000,1101004.800000,1101004.800000,1171783.680000,1171783.680000,5788139.520000,139984.896000,1616904.192000,379360.089600,9599503.564800,200540.160000,22270009.382400,0.204200,0.043406,13387993.850880,35658003.233280,0.115609,10.444800,10.488206,0.010998
cora_link,cora_link,validation,config_selection,245,245,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,301908480.000000,62.380000,71565312.000000,71565312.000000,273285120.000000,273285120.000000,689700864.000000,0.000000,0.000000,36394140.000000,1431306.240000,1431306.240000,1366425.600000,1366425.600000,6897008.640000,0.000000,0.000000,422172.024000,16956732.211200,419561.472000,30290938.027200,0.204200,0.043100,13012255.488000,43303193.515200,0.143432,11.571200,11.614300,0.013074
cora_link,cora_link,validation,config_selection,245,245,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,301201920.000000,62.380000,71565312.000000,71565312.000000,273285120.000000,273285120.000000,689700864.000000,1579155456.000000,2290089984.000000,36394140.000000,1431306.240000,1431306.240000,1366425.600000,1366425.600000,6897008.640000,197394.432000,2163631.718400,422172.024000,10640110.387200,222167.040000,26137947.921600,0.204200,0.045134,13594447.457280,39732395.378880,0.131913,11.571200,11.616334,0.011967
cora_link,cora_link,validation,config_selection,246,246,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,349870080.000000,62.380000,84934656.000000,84934656.000000,805896192.000000,805896192.000000,1781661696.000000,0.000000,0.000000,56556948.000000,1698693.120000,1698693.120000,4029480.960000,4029480.960000,17816616.960000,0.000000,0.000000,656060.596800,21614297.088000,522584.064000,52065906.868800,0.204200,0.048455,16952954.726400,69018861.595200,0.197270,15.872000,15.920455,0.024148
cora_link,cora_link,validation,config_selection,246,246,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,348518400.000000,62.380000,84934656.000000,84934656.000000,805896192.000000,805896192.000000,1781661696.000000,1742733312.000000,2717908992.000000,56556948.000000,1698693.120000,1698693.120000,4029480.960000,4029480.960000,17816616.960000,217841.664000,2502112.051200,656060.596800,14643363.840000,304742.400000,47597085.672000,0.204200,0.051245,17859825.408000,65456911.080000,0.187815,15.872000,15.923245,0.022813
cora_link,cora_link,validation,config_selection,247,247,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,301708800.000000,62.380000,59375616.000000,59375616.000000,196018176.000000,196018176.000000,510787584.000000,0.000000,0.000000,32655288.000000,1187512.320000,1187512.320000,980090.880000,980090.880000,5107875.840000,0.000000,0.000000,378801.340800,14766676.377600,360185.856000,24948745.814400,0.204200,0.041795,12609919.296000,37558665.110400,0.124486,10.649600,10.691395,0.011332
cora_link,cora_link,validation,config_selection,247,247,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,301063680.000000,62.380000,59375616.000000,59375616.000000,196018176.000000,196018176.000000,510787584.000000,1245708288.000000,1900019712.000000,32655288.000000,1187512.320000,1187512.320000,980090.880000,980090.880000,5107875.840000,155713.536000,1762865.971200,378801.340800,9783843.225600,204472.320000,21728778.633600,0.204200,0.043667,13146547.714560,34875326.348160,0.115840,10.649600,10.693267,0.010500
cora_link,cora_link,validation,config_selection,248,248,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,286625280.000000,62.380000,46006272.000000,46006272.000000,360185856.000000,360185856.000000,812384256.000000,0.000000,0.000000,29965452.000000,920125.440000,920125.440000,1800929.280000,1800929.280000,8123842.560000,0.000000,0.000000,347599.243200,11771314.176000,284295.168000,25969160.587200,0.204200,0.040490,11605457.587200,37574618.174400,0.131093,8.704000,8.744490,0.010770
cora_link,cora_link,validation,config_selection,248,248,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,286041600.000000,62.380000,46006272.000000,46006272.000000,360185856.000000,360185856.000000,812384256.000000,937426944.000000,1472200704.000000,29965452.000000,920125.440000,920125.440000,1800929.280000,1800929.280000,8123842.560000,117178.368000,1352033.894400,347599.243200,8021606.400000,167116.800000,23571486.705600,0.204200,0.042020,12019468.032000,35590954.737600,0.124426,8.704000,8.746020,0.010180
cora_link,cora_link,validation,config_selection,249,249,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,309143040.000000,62.380000,55050240.000000,55050240.000000,234356736.000000,234356736.000000,578813952.000000,0.000000,0.000000,32703456.000000,1101004.800000,1101004.800000,1171783.680000,1171783.680000,5788139.520000,0.000000,0.000000,379360.089600,14079020.236800,340525.056000,25132621.862400,0.204200,0.041570,12851076.172800,37983698.035200,0.122868,10.444800,10.486370,0.011742
cora_link,cora_link,validation,config_selection,249,249,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,308436480.000000,62.380000,55050240.000000,55050240.000000,234356736.000000,234356736.000000,578813952.000000,1119879168.000000,1761607680.000000,32703456.000000,1101004.800000,1101004.800000,1171783.680000,1171783.680000,5788139.520000,139984.896000,1616904.192000,379360.089600,9599503.564800,200540.160000,22270009.382400,0.204200,0.043406,13387993.850880,35658003.233280,0.115609,10.444800,10.488206,0.010998
cora_link,cora_link,validation,config_selection,250,250,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,301908480.000000,62.380000,71565312.000000,71565312.000000,253427712.000000,253427712.000000,649986048.000000,0.000000,0.000000,36083868.000000,1431306.240000,1431306.240000,1267138.560000,1267138.560000,6499860.480000,0.000000,0.000000,418572.868800,16956732.211200,419561.472000,29691616.632000,0.204200,0.043100,13012255.488000,42703872.120000,0.141446,11.571200,11.614300,0.012893
cora_link,cora_link,validation,config_selection,250,250,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,301201920.000000,62.380000,71565312.000000,71565312.000000,253427712.000000,253427712.000000,649986048.000000,1579155456.000000,2290089984.000000,36083868.000000,1431306.240000,1431306.240000,1267138.560000,1267138.560000,6499860.480000,197394.432000,2163631.718400,418572.868800,10640110.387200,222167.040000,25538626.526400,0.204200,0.045134,13594447.457280,39133073.983680,0.129923,11.571200,11.616334,0.011787
cora_link,cora_link,validation,config_selection,251,251,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,311877120.000000,62.380000,63307776.000000,63307776.000000,190513152.000000,190513152.000000,507641856.000000,0.000000,0.000000,36747252.000000,1266155.520000,1266155.520000,952565.760000,952565.760000,5076418.560000,0.000000,0.000000,426268.123200,16298645.913600,393609.216000,26632384.372800,0.204200,0.043370,13526110.694400,40158495.067200,0.128764,12.185600,12.228970,0.012525
cora_link,cora_link,validation,config_selection,251,251,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,311170560.000000,62.380000,63307776.000000,63307776.000000,190513152.000000,190513152.000000,507641856.000000,1277165568.000000,2025848832.000000,36747252.000000,1266155.520000,1266155.520000,952565.760000,952565.760000,5076418.560000,159645.696000,1854092.083200,426268.123200,11189983.641600,233963.520000,23377814.184000,0.204200,0.045512,14161994.526720,37539808.710720,0.120641,12.185600,12.231112,0.011681
cora_link,cora_link,validation,config_selection,252,252,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,306931200.000000,62.380000,67633152.000000,67633152.000000,244187136.000000,244187136.000000,623640576.000000,0.000000,0.000000,38997144.000000,1352663.040000,1352663.040000,1220935.680000,1220935.680000,6236405.760000,0.000000,0.000000,452366.870400,17204615.577600,416808.960000,29457394.608000,0.204200,0.043910,13477348.992000,42934743.600000,0.139884,12.697600,12.741510,0.013178
cora_link,cora_link,validation,config_selection,252,252,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,306255360.000000,62.380000,67633152.000000,67633152.000000,244187136.000000,244187136.000000,623640576.000000,1384120320.000000,2164260864.000000,38997144.000000,1352663.040000,1352663.040000,1220935.680000,1220935.680000,6236405.760000,173015.040000,1990616.678400,452366.870400,11668134.297600,243793.920000,25911530.006400,0.204200,0.046142,14131234.821120,40042764.827520,0.130750,12.697600,12.743742,0.012263
cora_link,cora_link,validation,config_selection,253,253,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,344332800.000000,62.380000,64880640.000000,64880640.000000,381812736.000000,381812736.000000,893386752.000000,0.000000,0.000000,43412952.000000,1297612.800000,1297612.800000,1909063.680000,1909063.680000,8933867.520000,0.000000,0.000000,503590.243200,17419783.372800,415236.096000,33685830.192000,0.204200,0.044900,15460542.720000,49146372.912000,0.142729,13.516800,13.561700,0.016923
cora_link,cora_link,validation,config_selection,253,253,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,343257600.000000,62.380000,64880640.000000,64880640.000000,381812736.000000,381812736.000000,893386752.000000,1245708288.000000,2076180480.000000,43412952.000000,1297612.800000,1297612.800000,1909063.680000,1909063.680000,8933867.520000,155713.536000,1868562.432000,503590.243200,12436950.220800,259522.560000,30571559.472000,0.204200,0.047276,16227846.297600,46799405.769600,0.136339,13.516800,13.564076,0.016064
cora_link,cora_link,validation,config_selection,254,254,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,302100480.000000,62.380000,70778880.000000,70778880.000000,307101696.000000,307101696.000000,755761152.000000,0.000000,0.000000,38321376.000000,1415577.600000,1415577.600000,1535508.480000,1535508.480000,7557611.520000,0.000000,0.000000,444527.961600,17202098.995200,422313.984000,31528724.620800,0.204200,0.043550,13156475.904000,44685200.524800,0.147915,12.083200,12.126750,0.013499
cora_link,cora_link,validation,config_selection,254,254,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,301271040.000000,62.380000,70778880.000000,70778880.000000,307101696.000000,307101696.000000,755761152.000000,1522532352.000000,2264924160.000000,38321376.000000,1415577.600000,1415577.600000,1535508.480000,1535508.480000,7557611.520000,190316.544000,2120220.672000,444527.961600,11111969.587200,231997.440000,27558815.884800,0.204200,0.045674,13760253.480960,41319069.365760,0.137149,12.083200,12.128874,0.012448
cora_link,cora_link,validation,config_selection,255,255,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,344332800.000000,62.380000,64880640.000000,64880640.000000,373161984.000000,373161984.000000,876085248.000000,0.000000,0.000000,43277784.000000,1297612.800000,1297612.800000,1865809.920000,1865809.920000,8760852.480000,0.000000,0.000000,502022.294400,17419783.372800,415236.096000,33424739.683200,0.204200,0.044900,15460542.720000,48885282.403200,0.141971,13.516800,13.561700,0.016833
cora_link,cora_link,validation,config_selection,255,255,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,343257600.000000,62.380000,64880640.000000,64880640.000000,373161984.000000,373161984.000000,876085248.000000,1245708288.000000,2076180480.000000,43277784.000000,1297612.800000,1297612.800000,1865809.920000,1865809.920000,8760852.480000,155713.536000,1868562.432000,502022.294400,12436950.220800,259522.560000,30310468.963200,0.204200,0.047276,16227846.297600,46538315.260800,0.135578,13.516800,13.564076,0.015975
cora_link,cora_link,validation,config_selection,256,256,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,411932160.000000,62.380000,87293952.000000,87293952.000000,499187712.000000,499187712.000000,1172963328.000000,0.000000,0.000000,47506152.000000,1745879.040000,1745879.040000,2495938.560000,2495938.560000,11729633.280000,0.000000,0.000000,551071.363200,20853030.912000,514326.528000,42131697.283200,0.204200,0.046025,18959177.664000,61090874.947200,0.148303,14.336000,14.382025,0.025165
cora_link,cora_link,validation,config_selection,256,256,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,409751040.000000,62.380000,87293952.000000,87293952.000000,499187712.000000,499187712.000000,1172963328.000000,1912602624.000000,2793406464.000000,47506152.000000,1745879.040000,1745879.040000,2495938.560000,2495938.560000,11729633.280000,239075.328000,2632345.190400,551071.363200,13202620.416000,275251.200000,37113631.977600,0.204200,0.048545,19891364.236800,57004996.214400,0.139121,14.336000,14.384545,0.023358
cora_link,cora_link,validation,config_selection,257,257,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,302169600.000000,62.380000,66453504.000000,66453504.000000,227475456.000000,227475456.000000,587857920.000000,0.000000,0.000000,38451300.000000,1329070.080000,1329070.080000,1137377.280000,1137377.280000,5878579.200000,0.000000,0.000000,446035.080000,16981898.035200,410910.720000,28650317.755200,0.204200,0.043820,13241071.872000,41891389.627200,0.138635,12.595200,12.639020,0.012658
cora_link,cora_link,validation,config_selection,257,257,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,301340160.000000,62.380000,66453504.000000,66453504.000000,227475456.000000,227475456.000000,587857920.000000,1352663040.000000,2126512128.000000,38451300.000000,1329070.080000,1329070.080000,1137377.280000,1137377.280000,5878579.200000,169082.880000,1952238.796800,446035.080000,11571245.875200,241827.840000,25191904.392000,0.204200,0.046034,13871892.925440,39063797.317440,0.129634,12.595200,12.641234,0.011771
cora_link,cora_link,validation,config_selection,258,258,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,339156480.000000,62.380000,66846720.000000,66846720.000000,184025088.000000,184025088.000000,501743616.000000,0.000000,0.000000,38032344.000000,1336934.400000,1336934.400000,920125.440000,920125.440000,5017436.160000,0.000000,0.000000,441175.190400,17091369.369600,413663.232000,27477763.632000,0.204200,0.043550,14770264.704000,42248028.336000,0.124568,12.697600,12.741150,0.014329
cora_link,cora_link,validation,config_selection,258,258,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,338204160.000000,62.380000,66846720.000000,66846720.000000,184025088.000000,184025088.000000,501743616.000000,1358954496.000000,2139095040.000000,38032344.000000,1336934.400000,1336934.400000,920125.440000,920125.440000,5017436.160000,169869.312000,1962934.272000,441175.190400,11655551.385600,243793.920000,24004879.920000,0.204200,0.045782,15483662.853120,39488542.773120,0.116759,12.697600,12.743382,0.013355
cora_link,cora_link,validation,config_selection,259,259,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,314503680.000000,62.380000,68419584.000000,68419584.000000,214892544.000000,214892544.000000,566624256.000000,0.000000,0.000000,39919692.000000,1368391.680000,1368391.680000,1074462.720000,1074462.720000,5666242.560000,0.000000,0.000000,463068.427200,17641871.769600,425852.928000,29082744.484800,0.204200,0.044225,13908925.248000,42991669.732800,0.136697,13.209600,13.253825,0.013521
cora_link,cora_link,validation,config_selection,259,259,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,313766400.000000,62.380000,68419584.000000,68419584.000000,214892544.000000,214892544.000000,566624256.000000,1377828864.000000,2189426688.000000,39919692.000000,1368391.680000,1368391.680000,1074462.720000,1074462.720000,5666242.560000,172228.608000,2002570.444800,463068.427200,12130556.313600,253624.320000,25573999.473600,0.204200,0.046547,14604884.620800,40178884.094400,0.128053,13.209600,13.256147,0.012607
cora_link,cora_link,validation,config_selection,260,260,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,337213440.000000,62.380000,71958528.000000,71958528.000000,220594176.000000,220594176.000000,585105408.000000,0.000000,0.000000,41686164.000000,1439170.560000,1439170.560000,1102970.880000,1102970.880000,5851054.080000,0.000000,0.000000,483559.502400,18509463.552000,447086.592000,30375446.606400,0.204200,0.044720,15080185.036800,45455631.643200,0.134798,13.824000,13.868720,0.015328
cora_link,cora_link,validation,config_selection,260,260,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,335953920.000000,62.380000,71958528.000000,71958528.000000,220594176.000000,220594176.000000,585105408.000000,1453326336.000000,2302672896.000000,41686164.000000,1439170.560000,1439170.560000,1102970.880000,1102970.880000,5851054.080000,181665.792000,2108266.905600,483559.502400,12696158.208000,265420.800000,26670408.168000,0.204200,0.047150,15840227.328000,42510635.496000,0.126537,13.824000,13.871150,0.014282
cora_link,cora_link,validation,config_selection,261,261,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,351751680.000000,62.380000,70385664.000000,70385664.000000,136839168.000000,136839168.000000,414449664.000000,0.000000,0.000000,37010340.000000,1407713.280000,1407713.280000,684195.840000,684195.840000,4144496.640000,0.000000,0.000000,429319.944000,17472631.603200,426639.360000,26656905.787200,0.204200,0.043460,15287128.012800,41944033.800000,0.119243,12.595200,12.638660,0.014754
cora_link,cora_link,validation,config_selection,261,261,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,350492160.000000,62.380000,70385664.000000,70385664.000000,136839168.000000,136839168.000000,414449664.000000,1478492160.000000,2252341248.000000,37010340.000000,1407713.280000,1407713.280000,684195.840000,684195.840000,4144496.640000,184811.520000,2090650.828800,429319.944000,11558662.963200,241827.840000,22833587.976000,0.204200,0.045674,16008378.915840,38841966.891840,0.110821,12.595200,12.640874,0.013614
cora_link,cora_link,validation,config_selection,262,262,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,provisional_28nm_v1,28.000000,400.000000,296801280.000000,62.380000,62128128.000000,62128128.000000,214499328.000000,214499328.000000,553254912.000000,0.000000,0.000000,33785844.000000,1242562.560000,1242562.560000,1072496.640000,1072496.640000,5532549.120000,0.000000,0.000000,391915.790400,15327874.252800,374734.848000,26257192.411200,0.204200,0.042155,12511657.958400,38768850.369600,0.130622,10.956800,10.998955,0.011507
cora_link,cora_link,validation,config_selection,262,262,source_dst_locality,balanced,pim_selective_kv_local_combine,4,provisional_28nm_v1,28.000000,400.000000,296217600.000000,62.380000,62128128.000000,62128128.000000,214499328.000000,214499328.000000,553254912.000000,1314914304.000000,1988100096.000000,33785844.000000,1242562.560000,1242562.560000,1072496.640000,1072496.640000,5532549.120000,164364.288000,1850317.209600,391915.790400,10068217.036800,210370.560000,22847852.404800,0.204200,0.044081,13057568.025600,35905420.430400,0.121213,10.956800,11.000881,0.010636
